x,y,z
572.18305412,14.72341347,0.28792247
571.84058776,14.72341347,0.28792247
571.84058776,15.22719097,0.28792247
571.54704586,15.22719097,0.28838235
571.54704586,15.63021374,0.28838235
571.35135093,15.63021374,0.28838235
571.35135093,16.03323746,0.28838235
571.30242744,16.03323746,0.28838235
571.30242744,16.53701401,0.28838235
571.25350395,16.53701401,0.28838235
571.25350395,17.54457092,0.28838235
571.25350395,17.54457092,0.28884229
571.25350395,18.60250664,0.28884229
571.25350395,18.60250664,0.28930226
571.25350395,19.66044044,0.28930226
571.25350395,19.66044044,0.28976217
571.25350395,20.46648598,0.28976217
571.25350395,20.46648598,0.29068208
571.25350395,20.97026443,0.29068208
571.30242744,20.97026443,0.29068208
571.30242744,21.37328720,0.29068208
571.44919887,21.37328720,0.29068208
571.44919887,21.82668686,0.29068208
571.64489380,21.82668686,0.29068208
571.64489380,22.28008842,0.29068208
571.98735920,22.28008842,0.28930226
571.98735920,22.63273239,0.28930226
572.37874809,22.63273239,0.28930226
572.37874809,22.83424377,0.28930226
572.81906143,22.83424377,0.28930226
572.81906143,22.88462257,0.28930226
573.25937477,22.88462257,0.28930226
573.84645858,22.88462257,0.28838235
573.84645858,22.93499947,0.28838235
573.84645858,22.93499947,0.28838235
574.87385574,22.93499947,0.28562275
574.87385574,22.93499947,0.28562275
575.85232940,22.93499947,0.28148329
575.85232940,22.93499947,0.28148329
576.92865100,22.93499947,0.28010347
576.92865100,22.93499947,0.28010347
577.85820022,22.93499947,0.28010347
577.85820022,22.93499947,0.28010347
578.83667389,22.93499947,0.27826369
578.83667389,22.93499947,0.27826369
579.81514755,22.93499947,0.27596399
579.81514755,22.93499947,0.27596399
580.89146867,22.93499947,0.27412423
580.89146867,22.93499947,0.27412423
581.86994234,22.93499947,0.27274442
581.86994234,22.93499947,0.27274442
582.84841552,22.93499947,0.27228448
582.84841552,22.93499947,0.27228448
583.82688943,22.93499947,0.27136460
583.82688943,22.93499947,0.27136460
584.80536285,22.93499947,0.26676521
584.80536285,22.93499947,0.26676521
585.83276013,22.93499947,0.26446548
585.83276013,22.93499947,0.26446548
586.86015740,22.93499947,0.26354560
586.86015740,22.93499947,0.26354560
587.83863094,22.93499947,0.26216578
587.83863094,22.93499947,0.26216578
588.81710449,22.93499947,0.26032603
588.81710449,22.93499947,0.26032603
589.79557815,22.93499947,0.25664651
589.79557815,22.93499947,0.25664651
590.82297531,22.93499947,0.25388688
590.82297531,22.93499947,0.25388688
591.85037246,22.93499947,0.25342694
591.85037246,22.93499947,0.25342694
592.82884613,22.93499947,0.25250706
592.82884613,22.93499947,0.25250706
593.80731979,22.93499947,0.24928747
593.80731979,22.93499947,0.24928747
594.83471695,22.93499947,0.24560796
