x,y,z,temperature,extrusion
12818.0,7266.0,2840.0,233.6,-34.0
12818.0,7266.0,2840.0,233.6,-34.0
12818.0,7266.0,2840.0,233.6,-34.0
12818.0,7266.0,2840.0,233.6,-34.0
12818.0,7266.0,2840.0,233.6,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.8,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,232.4,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
12818.0,7266.0,2840.0,239.8,-34.0
